auroc,pr_auc,eer,eer_threshold,tpr_at_fpr_1pct,tpr_at_fpr_5pct,threshold,accuracy,balanced_accuracy,macro_f1,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,support_real,support_fake,split,level,threshold_type
0.9804060917215093,0.9969080370005315,0.06895745072095946,0.7631325721740723,0.8255878239942762,0.918143679469251,0.832505464553833,0.9150137663651177,0.9344669736967123,0.8517198135547854,0.6214304777155057,0.9611971104231166,0.7548423697220196,0.9933096085409253,0.9077368369703079,0.9485972573875512,4845,30749,validation,frame_level,youden
0.9804060917215093,0.9969080370005315,0.06895745072095946,0.7631325721740723,0.8255878239942762,0.918143679469251,0.9484363198280334,0.8479799966286453,0.907840351625621,0.7715382996262932,0.4721456692913386,0.990092879256966,0.6393868710429856,0.9981127624439726,0.8255878239942762,0.9036897282096008,4845,30749,validation,frame_level,fpr_1pct
0.9804060917215093,0.9969080370005315,0.06895745072095946,0.7631325721740723,0.8255878239942762,0.918143679469251,0.8042656183242798,0.9225150306231388,0.9342008387026337,0.8614715453536463,0.6465384075270327,0.9502579979360165,0.7695136219287982,0.9915358409721491,0.918143679469251,0.9534294687784944,4845,30749,validation,frame_level,fpr_5pct
0.9804060917215093,0.9969080370005315,0.06895745072095946,0.7631325721740723,0.8255878239942762,0.918143679469251,0.5,0.9496263415182334,0.8784289728804222,0.8896901775063462,0.838209219858156,0.7805985552115583,0.808378753874105,0.9658001415610321,0.9762593905492861,0.9710016011385875,4845,30749,validation,frame_level,fixed_0.5
0.9954989315057327,0.9990059112674781,0.031297856606322436,0.6991297006607056,0.9490150637311703,0.9745075318655851,0.7163702845573425,0.9689265536723164,0.9750810832843243,0.9514648755323201,0.8672566371681416,0.9849246231155779,0.9223529411764706,0.9964114832535885,0.9652375434530707,0.9805768098881695,199,863,validation,video_level,youden
0.9954989315057327,0.9990059112674781,0.031297856606322436,0.6991297006607056,0.9490150637311703,0.9745075318655851,0.7695065140724182,0.9576271186440678,0.9719949690515148,0.9356106078795154,0.8181818181818182,0.9949748743718593,0.8979591836734694,0.998780487804878,0.9490150637311703,0.9732620320855615,199,863,validation,video_level,fpr_1pct
0.9954989315057327,0.9990059112674781,0.031297856606322436,0.6991297006607056,0.9490150637311703,0.9745075318655851,0.6823065876960754,0.972693032015066,0.9696658262343001,0.9564164648910412,0.897196261682243,0.964824120603015,0.9297820823244553,0.9917452830188679,0.9745075318655851,0.9830508474576272,199,863,validation,video_level,fpr_5pct
0.9954989315057327,0.9990059112674781,0.031297856606322436,0.6991297006607056,0.9490150637311703,0.9745075318655851,0.5,0.9708097928436912,0.9317764954552601,0.9500135890400976,0.9719101123595506,0.8693467336683417,0.9177718832891246,0.9705882352941176,0.9942062572421785,0.9822552947910704,199,863,validation,video_level,fixed_0.5
0.8227116545212729,0.9751774297178831,0.25959494192302235,0.7822179198265076,0.16945716576209652,0.39070980345180284,0.832505464553833,0.681364628275391,0.7372330322492306,0.5592528536574786,0.20528603260749664,0.8063957015339284,0.3272605774979777,0.9701077139225263,0.6680703629645328,0.7912451298169794,11539,108523,test_celebdf,frame_level,youden
0.8227116545212729,0.9751774297178831,0.25959494192302235,0.7822179198265076,0.16945716576209652,0.39070980345180284,0.9484363198280334,0.4544485349236228,0.6748700859428043,0.41076614559808367,0.14421162290823256,0.9477424386861947,0.25033191411436156,0.9863664111781862,0.40199773319941395,0.5712003770818058,11539,108523,test_celebdf,frame_level,fpr_1pct
0.8227116545212729,0.9751774297178831,0.25959494192302235,0.7822179198265076,0.16945716576209652,0.39070980345180284,0.8042656183242798,0.7157468641202046,0.7401815849738136,0.5806027521304019,0.22021848448066586,0.7704307132333824,0.34252908992833475,0.9667599412746415,0.7099324567142449,0.8186764143324691,11539,108523,test_celebdf,frame_level,fpr_5pct
0.8227116545212729,0.9751774297178831,0.25959494192302235,0.7822179198265076,0.16945716576209652,0.39070980345180284,0.5,0.9014425879962019,0.6378582030537066,0.6622224950575735,0.48035809727418494,0.3115521275673802,0.37796351784681703,0.9294355913233492,0.964164278540033,0.9464814722683299,11539,108523,test_celebdf,frame_level,fixed_0.5
0.9018121376250748,0.9873434148760761,0.17489232073242944,0.7537950873374939,0.27451675829047706,0.593012945557723,0.7163702845573425,0.8689998394605876,0.8092755958052424,0.7198507712108899,0.396709323583181,0.735593220338983,0.5154394299287411,0.9696202531645569,0.882957971271502,0.9242621124930388,590,5639,test_celebdf,video_level,youden
0.9018121376250748,0.9873434148760761,0.17489232073242944,0.7537950873374939,0.27451675829047706,0.593012945557723,0.7695065140724182,0.8018943650666238,0.8253275463554363,0.6644038282465384,0.3050847457627119,0.8542372881355932,0.4495985727029438,0.9812103998252131,0.7964178045752793,0.8792090837901331,590,5639,test_celebdf,video_level,fpr_1pct
0.9018121376250748,0.9873434148760761,0.17489232073242944,0.7537950873374939,0.27451675829047706,0.593012945557723,0.6823065876960754,0.8961310001605394,0.7855622616102746,0.7417652228210079,0.46537059538274606,0.6491525423728813,0.5421089879688605,0.9617092119866815,0.9219719808476681,0.9414214576731553,590,5639,test_celebdf,video_level,fpr_5pct
0.9018121376250748,0.9873434148760761,0.17489232073242944,0.7537950873374939,0.27451675829047706,0.593012945557723,0.5,0.9245464761598973,0.621423440266185,0.6715087106074805,0.8488372093023255,0.24745762711864408,0.38320209973753283,0.9266963843486875,0.9953892534137259,0.9598153214774282,590,5639,test_celebdf,video_level,fixed_0.5
